Student ID,Gender,Race/Ethnicity,Parental Education,Lunch Type,Test Preparation,Study Time per Week,Daily Sleep Duration,Math Score,Reading Score,Writing Score,School Type,Internet Access
1,female,group B,some college,standard,False,12.4,5.4,62.0,76.0,65.0,public,True
2,male,group D,high school,standard,False,18.3,5.1,74.0,73.0,76.0,public,
3,male,group B,bachelor degree,free/reduced,True,11.8,7.8,71.0,83.0,91.0,public,False
4,male,group E,high school,standard,False,,7.3,83.0,73.0,52.0,public,True
5,female,group C,bachelor degree,standard,True,12.9,6.3,41.0,,81.0,public,True
6,female,group E,associate degree,standard,False,10.1,6.4,67.0,,83.0,public,True
7,female,group E,some college,standard,False,,4.7,51.0,,81.0,public,True
8,male,group B,some college,standard,False,11.1,7.0,65.0,86.0,79.0,private,True
9,male,group C,bachelor degree,standard,False,3.8,7.0,63.0,66.0,78.0,international,False
10,female,group B,bachelor degree,free/reduced,False,15.0,7.3,70.0,82.0,51.0,public,False
11,female,group E,some college,free/reduced,True,11.3,,82.0,76.0,,private,True
12,female,group E,some college,free/reduced,True,8.9,9.7,35.0,48.0,59.0,public,True
13,male,group E,bachelor degree,standard,False,18.4,6.4,66.0,52.0,79.0,public,
14,male,group D,high school,free/reduced,False,6.9,8.6,68.0,61.0,,public,True
15,male,group C,some college,standard,True,6.9,8.2,80.0,78.0,78.0,public,True
16,male,group C,associate degree,standard,True,20.5,6.7,61.0,93.0,77.0,public,True
17,female,group B,some college,standard,False,8.3,,90.0,74.0,68.0,private,True
18,female,group D,some college,free/reduced,False,15.9,9.2,75.0,62.0,73.0,public,True
19,male,group C,master degree,free/reduced,True,5.0,6.1,57.0,,80.0,public,True
20,female,group B,master degree,standard,True,10.2,7.0,78.0,66.0,83.0,private,True
21,female,group B,high school,standard,True,12.6,8.6,93.0,45.0,68.0,international,True
22,male,group A,,standard,True,13.0,7.7,54.0,,95.0,public,True
23,female,group D,associate degree,standard,False,21.0,8.3,34.0,73.0,94.0,public,False
24,female,group D,bachelor degree,,False,8.9,6.1,77.0,93.0,90.0,private,True
25,male,group C,master degree,standard,False,3.7,6.9,46.0,84.0,67.0,international,False
26,female,group D,some college,standard,True,12.6,7.5,62.0,,58.0,international,True
27,male,group B,some college,standard,False,6.5,8.3,57.0,80.0,68.0,public,True
28,male,group C,bachelor degree,standard,True,,7.2,55.0,100.0,84.0,international,True
29,female,group D,some college,standard,True,16.7,8.5,89.0,92.0,,public,True
30,male,group E,high school,free/reduced,True,0.0,7.2,79.0,75.0,60.0,international,True
31,female,group E,associate degree,standard,True,6.2,4.6,82.0,,63.0,public,True
32,male,group E,high school,standard,False,9.5,6.8,96.0,85.0,78.0,international,True
33,male,group A,some college,standard,False,7.7,7.9,69.0,63.0,71.0,public,True
34,female,group B,,,False,6.1,7.6,83.0,59.0,71.0,public,True
35,male,group B,some college,free/reduced,False,18.6,8.8,100.0,60.0,59.0,public,False
36,female,group C,associate degree,standard,False,9.7,4.2,75.0,42.0,64.0,public,False
37,male,group D,bachelor degree,standard,False,16.8,6.2,77.0,63.0,71.0,public,True
38,female,group C,master degree,free/reduced,False,15.2,5.9,33.0,49.0,68.0,private,True
39,female,group E,high school,free/reduced,True,15.8,7.6,67.0,78.0,57.0,public,True
40,female,group B,master degree,standard,False,7.6,6.5,48.0,54.0,59.0,public,
41,male,group B,,standard,True,8.7,6.9,73.0,88.0,95.0,public,True
42,female,group C,master degree,free/reduced,False,16.2,5.3,66.0,62.0,47.0,public,True
43,female,group E,high school,standard,False,12.4,,86.0,70.0,65.0,public,
44,female,group D,some college,free/reduced,True,12.4,7.1,81.0,,76.0,public,True
45,male,group C,some college,standard,False,15.5,8.2,84.0,44.0,80.0,public,True
46,male,group E,some college,standard,False,12.1,4.4,86.0,73.0,66.0,public,True
47,female,group D,bachelor degree,standard,True,9.4,5.0,62.0,80.0,74.0,private,True
48,male,group D,some college,free/reduced,False,10.4,6.2,48.0,68.0,69.0,private,True
49,female,group C,high school,free/reduced,True,0.0,6.2,72.0,56.0,53.0,private,True
50,male,group A,high school,standard,False,15.1,7.8,75.0,66.0,100.0,public,True
51,female,group E,associate degree,standard,False,15.0,6.0,64.0,59.0,60.0,public,True
52,female,group C,bachelor degree,,True,15.9,7.2,98.0,56.0,63.0,public,
53,male,group C,master degree,standard,False,,7.2,79.0,49.0,71.0,international,True
54,female,group D,high school,free/reduced,False,10.3,5.3,63.0,72.0,82.0,public,True
55,female,group B,associate degree,standard,True,8.2,7.1,88.0,72.0,82.0,private,True
56,female,group B,bachelor degree,free/reduced,False,8.8,10.7,85.0,80.0,74.0,private,True
57,male,group A,high school,standard,False,13.4,5.6,51.0,58.0,62.0,public,True
58,female,group A,associate degree,standard,False,,8.3,54.0,67.0,81.0,public,True
59,female,group E,high school,free/reduced,False,12.2,8.6,52.0,,79.0,public,True
60,male,group E,some college,free/reduced,False,17.6,7.5,59.0,67.0,85.0,public,True
61,female,group B,high school,standard,False,12.2,8.7,87.0,58.0,68.0,public,True
62,male,group D,,free/reduced,False,2.4,6.1,74.0,72.0,82.0,public,True
63,female,group B,associate degree,standard,True,3.9,8.7,46.0,90.0,71.0,public,True
64,female,group E,master degree,standard,True,1.2,,58.0,61.0,75.0,public,False
65,female,group D,high school,standard,False,0.4,8.4,93.0,72.0,47.0,public,False
66,female,group B,some college,free/reduced,False,19.7,9.0,49.0,72.0,71.0,public,False
67,male,group E,some college,standard,True,0.5,5.6,45.0,61.0,74.0,public,False
68,male,group D,,standard,True,10.5,7.5,65.0,63.0,96.0,private,True
69,female,group D,bachelor degree,free/reduced,False,3.4,9.9,76.0,57.0,61.0,private,True
70,female,group B,associate degree,standard,False,15.3,8.1,54.0,74.0,65.0,private,True
71,male,group C,some college,,False,10.6,7.9,70.0,75.0,70.0,public,True
72,male,group B,master degree,free/reduced,True,7.6,6.0,56.0,64.0,64.0,public,True
73,male,group E,some college,standard,False,12.3,7.0,100.0,52.0,62.0,public,True
74,female,group B,high school,standard,False,10.2,11.0,48.0,93.0,68.0,private,True
75,female,group B,master degree,standard,True,21.1,10.0,51.0,88.0,77.0,public,False
76,female,group C,bachelor degree,standard,False,15.8,7.1,61.0,54.0,62.0,public,True
77,female,group E,associate degree,,False,19.7,7.0,78.0,47.0,48.0,private,False
78,male,group B,,standard,True,15.4,6.0,78.0,80.0,68.0,international,True
79,female,group B,some college,free/reduced,True,9.4,7.4,80.0,71.0,85.0,international,True
80,male,group B,high school,standard,False,5.2,7.6,83.0,72.0,,private,False
81,female,group E,high school,free/reduced,False,16.0,5.9,65.0,75.0,73.0,public,True
82,male,group D,,standard,True,12.4,6.2,56.0,,72.0,public,True
83,female,group B,bachelor degree,standard,True,15.8,10.5,100.0,58.0,58.0,private,True
84,male,group D,bachelor degree,standard,True,9.0,8.8,51.0,74.0,71.0,public,True
85,male,group A,high school,free/reduced,True,4.6,8.5,63.0,59.0,84.0,public,True
86,female,group B,high school,free/reduced,True,6.5,,56.0,100.0,83.0,private,True
87,male,group E,some college,free/reduced,False,17.3,6.7,63.0,,91.0,public,True
88,male,group C,some college,standard,True,5.3,5.7,76.0,57.0,,private,False
89,male,group C,some college,standard,False,2.4,6.9,37.0,,81.0,private,True
90,female,group C,associate degree,free/reduced,True,11.0,6.7,54.0,59.0,58.0,public,True
91,male,group C,master degree,free/reduced,True,2.7,6.5,64.0,,67.0,public,True
92,female,group B,,standard,False,10.1,7.7,77.0,88.0,95.0,public,True
93,male,group A,high school,standard,True,5.5,6.7,71.0,53.0,75.0,public,True
94,male,group A,bachelor degree,standard,False,6.8,7.0,55.0,,49.0,public,False
95,female,group A,associate degree,standard,False,12.3,9.3,39.0,42.0,57.0,public,True
96,female,group E,bachelor degree,standard,False,11.0,8.0,87.0,61.0,69.0,public,False
97,male,group E,bachelor degree,standard,True,7.1,5.6,80.0,54.0,80.0,international,True
98,male,group B,associate degree,standard,False,7.1,8.3,73.0,72.0,75.0,public,False
99,male,group A,bachelor degree,standard,False,0.0,8.0,70.0,72.0,81.0,public,True
100,male,group E,high school,standard,False,10.4,6.5,42.0,81.0,49.0,public,
101,female,group E,associate degree,standard,True,11.1,5.1,81.0,87.0,78.0,public,True
102,female,group D,some college,standard,False,14.2,5.2,52.0,71.0,68.0,public,True
103,male,group B,high school,standard,False,8.6,6.8,69.0,74.0,85.0,private,True
104,male,group C,high school,standard,True,,6.0,54.0,58.0,83.0,public,
105,male,group B,bachelor degree,standard,False,12.6,5.4,76.0,67.0,71.0,public,True
106,female,group C,bachelor degree,standard,False,12.4,5.9,51.0,78.0,93.0,private,True
107,female,group E,,standard,True,10.8,8.3,88.0,86.0,59.0,public,True
108,male,group B,,standard,False,0.0,8.2,100.0,51.0,71.0,private,True
109,female,group B,bachelor degree,standard,True,11.7,7.0,91.0,51.0,43.0,private,True
110,female,group E,associate degree,free/reduced,False,3.8,6.1,68.0,70.0,55.0,private,True
111,female,group C,some college,standard,True,15.8,7.1,75.0,75.0,91.0,international,True
112,female,group C,some college,standard,True,23.1,5.2,68.0,43.0,48.0,private,True
113,male,group A,master degree,free/reduced,True,11.3,,93.0,,79.0,public,True
114,female,group C,bachelor degree,standard,True,13.9,5.9,61.0,63.0,42.0,public,True
115,male,group D,associate degree,standard,False,12.4,8.4,47.0,68.0,68.0,public,True
